Event_ID,Source,Date,Time,Flight_Number,Orig,Dest,Fleet,Ship_Number,EDR_EQUIP,EDR_Min,EDR_Peak,Location,Turb_Level,G_Load,,Injury_1,Recordable_1,OSHA_1,Injury_2,Recordable_2,OSHA_2,Injury_3,Recordable_3,OSHA_3,Injury_4,Recordable_4,OSHA_4,Injury_5,Recordable_5,OSHA_5,Injury_6,Recordable_6,OSHA_6,Altitude,Flight_Phase,P1,P2,P3,P3A,P4,P5,P6,Comments
TRB16041,Pilot ASAP,5-Jul-16,05JUL16 1700,1156,PDX,ATL,739,3816,,,,33.7329553431604/-84.4127733325774,1,1.249541283,0.727563381195068(0.141829318925648),,,,,,,,,,,,,,,,,,,2526.336449,Approach,2,,Y,,Y,,,FOQA did not detect turbulence on this flight. FOQA flight record 5852998.
TRB16042,Pilot ASAP,1-Jul-16,01JUL16 2113,2576,SLC,IAH,319,,,,,,,,,0,,,,,,,,,,,,,,,,,,31963.26677,Cruise,2,,Y,,Y,,,
TRB16043,,1-Aug-16,,0031,LHR,ATL,767,0175,,,,,,,,FA,Y,Y,,,,,,,,,,,,,,,,33457.75481,Cruise,2,,Y,,Y,,Y,Non-FOQA aircraft
TRB16044,,3-Aug-16,,0349,UVF,ATL,737,3807,,,,,,,,FA,N,N,,,,,,,,,,,,,,,,26289.59656,Cruise,,,,,,,,Non-FOQA aircraft.
TRB16045,,4-Aug-16,,0219,CPH,JFK,767,1521,,,,,,,,FA,N,N,,,,,,,,,,,,,,,,2986.415927,Approach,,,,,,,,Non-FOQA aircraft.
TRB16046,,4-Aug-16,,1464,MSP,DCA,M88,9013,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,1940.331503,Approach,,,,,,,,
TRB16047,,6-Aug-16,,0477,JFK,LAX,757,6809,,,,,,,,FA,N,N,,,,,,,,,,,,,,,,12245.66641,Climb,,,,,,,,Non-FOQA aircraft.
TRB16048,,5-Aug-16,,0193,VCE,ATL,767,1816,,,,,,,,FA,N,N,,,,,,,,,,,,,,,,29068.90933,Cruise,,,,,,,,FOQA did not capture this flight.
TRB16049,,6-Aug-16,,0466,JFK,TLV,777,7006,,,,32.6050009501231/33.9545845489622,1,1.30859375,0.76171875(0.12291714455187),FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not capture this flight.
TRB16050,,7-Aug-16,,9827,,,757,,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,9755.553548,Climb,,,,,,,,
TRB16051,FOQA,7-Aug-16,23.5059,0176,MSP,ATL,757,5807,,,,33.6493953304358/-84.5929965952897,1,1.48873806,0.735716819763184(0.193758935034755),FA,Y,Y,,,,,,,,,,,,,,,,4208.515,Approach,1,,,,,,,FOQA flight record 5980848.
TRB16052,,12-Aug-16,,1361,MSP,BWI,319,3124,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,25784.71668,Cruise,,,,,,,,Non-FOQA aircraft.
TRB16053,,11-Aug-16,,0263,SAN,MSP,767,0129,,,,,,,,FA,N,Y,,,,,,,,,,,,,,,,13008.56927,Descent,,,,,,,,Non-FOQA aircraft.
TRB16054,FOQA,12-Aug-16,10.5829,0413,JFK,ATH,330,3326,,,,37.8487266416839/23.8491874621547,1,0.82421875,0.7890625(0.100265026564534),FA,N,Y,,,,,,,,,,,,,,,,2036.623,Approach,1,,,,,,,FOQA flight record 5975407.
TRB16055,Pilot ASAP,15-Aug-16,11AUG16 1215,0283,NRT,BKK,767,,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,16084.39043,Descent,2,,,,N,,,ASAP report is for a flight on the 11th not the 15th. 
TRB16056,,22-Aug-16,,0003,LHR,JFK,767,1605,,,,,,,,FA,Y,Y,,,,,,,,,,,,,,,,11066.33158,Descent,,,,,,,,Non-FOQA aircraft.
TRB16057,,16-Aug-16,,0421,SEA,JFK,757,6818,,,,,,,,FA,Y,Y,,,,,,,,,,,,,,,,35169.9354,Cruise,,,,,,,,Non-FOQA aircraft.
TRB16058,,23-Aug-16,,1654,LAX,ATL,767,0129,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,37321.67642,Cruise,,,,,,,,Non-FOQA aircraft.
